categorySlug,region,Comercio,sale,sessions,quote,inauguration_year,furnitureWithEquipment,merchandise,surface,gross_income,GoogleDisplay,adwords,bing,facebook,hs_automation,hubspot
negocio-inmobiliario,Madrid,1.0,0,1.0,1,2020.0,100000.0,50000.0,95.0,20000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,2.0,1,2012.0,30000.0,3000.0,125.0,6600.0,0,1,0,0,0,0
negocio-inmobiliario,Andalusia,1.0,0,1.0,1,2010.0,3000.0,5000.0,20.0,3000.0,0,1,0,0,0,0
negocio-inmobiliario,Cantabria,1.0,0,2.0,1,1960.0,3000.0,3000.0,50.0,30000.0,0,1,0,0,0,0
negocio-inmobiliario,Navarre,1.0,0,1.0,0,2004.0,18000.0,3000.0,55.0,30000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,1.0,1,2009.0,3000.0,3000.0,160.0,100000.0,0,1,0,0,0,0
negocio-inmobiliario,Valencian_Community,1.0,0,1.0,1,1978.0,10000.0,3000.0,20.0,30000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,1,6.0,1,1985.0,5000.0,5000.0,85.0,15000.0,0,0,0,1,0,0
negocio-inmobiliario,Catalonia,1.0,0,1.0,1,2001.0,50000.0,10000.0,500.0,800000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,0,1.0,1,1970.0,20000.0,5000.0,85.0,16000.0,0,1,0,0,0,0
negocio-inmobiliario,Castile-La_Mancha,1.0,0,1.0,1,1980.0,5000.0,3000.0,20.0,3000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,0,5.0,1,2000.0,17000.0,3000.0,40.0,50000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,0,1.0,1,1990.0,20000.0,3000.0,50.0,45000.0,0,1,0,0,0,0
negocio-inmobiliario,Galicia,1.0,0,1.0,0,1980.0,3000.0,3000.0,30.0,30000.0,0,1,0,0,0,0
negocio-inmobiliario,Aragon,1.0,1,1.0,1,1995.0,10000.0,3000.0,210.0,3000.0,0,0,1,0,0,0
negocio-inmobiliario,Madrid,1.0,0,1.0,1,1990.0,3000.0,3000.0,50.0,200000.0,0,0,0,1,0,0
negocio-inmobiliario,Andalusia,1.0,0,1.0,1,1990.0,3000.0,3000.0,50.0,200000.0,0,0,0,1,0,0
negocio-inmobiliario,Balearic_Islands,1.0,0,10.0,0,1975.0,5000.0,3000.0,70.0,10000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,1.0,1,1995.0,3000.0,3000.0,20.0,30000.0,0,1,0,0,0,0
negocio-inmobiliario,Castile_and_Leon,1.0,0,6.0,1,1980.0,3000.0,3000.0,320.0,30000.0,0,1,0,0,0,0
negocio-inmobiliario,Valencian_Community,1.0,1,1.0,0,2000.0,6000.0,5000.0,50.0,10000.0,0,0,0,0,0,1
negocio-inmobiliario,Andalusia,1.0,0,1.0,0,1970.0,3000.0,3000.0,500.0,50000.0,0,1,0,0,0,0
negocio-inmobiliario,Balearic_Islands,1.0,0,1.0,1,2006.0,5000.0,3000.0,100.0,185000.0,0,1,0,0,0,0
negocio-inmobiliario,Castile_and_Leon,1.0,0,1.0,1,1980.0,3000.0,3000.0,50.0,10000.0,0,1,0,0,0,0
negocio-inmobiliario,Asturias,1.0,0,5.0,0,1990.0,3000.0,3000.0,500.0,50000000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,1.0,1,2000.0,3000.0,3000.0,500.0,3000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,0,1.0,1,2006.0,5000.0,3000.0,50.0,200000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,0,1.0,1,2015.0,20000.0,3000.0,85.0,200000.0,0,1,0,0,0,0
negocio-inmobiliario,Andalusia,1.0,0,2.0,1,2020.0,3000.0,3000.0,50.0,600000.0,0,1,0,0,0,0
negocio-inmobiliario,Castile-La_Mancha,1.0,0,1.0,1,1974.0,25000.0,5000.0,500.0,110000.0,0,1,0,0,0,0
negocio-inmobiliario,Andalusia,1.0,0,1.0,0,1980.0,3000.0,3000.0,90.0,60000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,1,1.0,1,1970.0,6000.0,3000.0,50.0,10000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,0,1.0,0,1990.0,30000.0,10000.0,50.0,140000.0,0,0,1,0,0,0
negocio-inmobiliario,Galicia,1.0,0,1.0,0,1994.0,6000.0,3000.0,40.0,5400.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,0,1.0,1,2005.0,50000.0,3000.0,150.0,18000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,0,1.0,0,1998.0,6000.0,3000.0,100.0,200000.0,0,1,0,0,0,0
negocio-inmobiliario,Galicia,1.0,0,1.0,0,1970.0,3000.0,3000.0,45.0,12000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,0,5.0,0,2006.0,3000.0,3000.0,50.0,50000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,1,5.0,1,1985.0,6000.0,3000.0,25.0,12000.0,0,1,0,0,0,0
negocio-inmobiliario,Andalusia,1.0,0,2.0,1,1900.0,4000.0,3000.0,80.0,50000.0,0,1,0,0,0,0
negocio-inmobiliario,Navarre,1.0,0,1.0,1,1980.0,30000.0,3000.0,75.0,130000.0,0,1,0,0,0,0
negocio-inmobiliario,Valencian_Community,1.0,0,1.0,1,1960.0,15000.0,3000.0,70.0,24000.0,0,1,0,0,0,0
negocio-inmobiliario,Valencian_Community,1.0,0,1.0,1,1980.0,5000.0,5000.0,120.0,40000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,1.0,1,2002.0,3000.0,3000.0,100.0,3000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,1.0,1,1997.0,5000.0,3000.0,90.0,4000.0,0,1,0,0,0,0
negocio-inmobiliario,Valencian_Community,1.0,0,1.0,1,1950.0,3000.0,3000.0,50.0,3000.0,0,1,0,0,0,0
negocio-inmobiliario,Balearic_Islands,1.0,0,2.0,0,2012.0,5000.0,3000.0,155.0,1000000.0,0,1,0,0,0,0
negocio-inmobiliario,Valencian_Community,1.0,0,1.0,0,1960.0,40000.0,3000.0,115.0,105000.0,0,1,0,0,0,0
negocio-inmobiliario,Navarre,1.0,0,1.0,1,2005.0,3000.0,3000.0,20.0,36000.0,0,1,0,0,0,0
negocio-inmobiliario,Region_of_Murcia,1.0,0,1.0,1,2002.0,20000.0,10000.0,20.0,20000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,6.0,0,1989.0,3000.0,3000.0,305.0,3000.0,0,1,0,0,0,0
negocio-inmobiliario,Aragon,1.0,0,5.0,1,2020.0,8000.0,3000.0,80.0,250000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,0,1.0,1,1980.0,3000.0,3000.0,145.0,3000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,1.0,0,1990.0,3000.0,3000.0,395.0,50000.0,0,1,0,0,0,0
negocio-inmobiliario,Valencian_Community,1.0,0,1.0,0,2000.0,10000.0,3000.0,70.0,25000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,1.0,1,1980.0,15000.0,3000.0,50.0,100000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,1.0,1,2003.0,100000.0,3500.0,90.0,60000.0,0,0,0,1,0,0
negocio-inmobiliario,Basque_Country,1.0,0,1.0,0,1980.0,5000.0,5000.0,240.0,3000.0,0,1,0,0,0,0
negocio-inmobiliario,Andalusia,1.0,0,2.0,1,2018.0,3000.0,3000.0,20.0,15000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,0,1.0,1,2010.0,5000.0,3000.0,20.0,20000.0,0,1,0,0,0,0
negocio-inmobiliario,Extremadura,1.0,0,1.0,1,2000.0,6000.0,3000.0,60.0,250000.0,0,1,0,0,0,0
negocio-inmobiliario,Community_of_Madrid,1.0,0,1.0,1,1970.0,3000.0,3000.0,100.0,3000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,3.0,1,1980.0,30000.0,3000.0,80.0,100000.0,0,1,0,0,0,0
negocio-inmobiliario,Andalusia,1.0,0,1.0,1,1970.0,4000.0,3000.0,100.0,18000.0,0,1,0,0,0,0
negocio-inmobiliario,Basque_Country,1.0,0,1.0,0,1981.0,3000.0,3000.0,35.0,150000.0,0,1,0,0,0,0
negocio-inmobiliario,Basque_Country,1.0,0,2.0,0,1970.0,3000.0,5000.0,20.0,100000.0,0,1,0,0,0,0
negocio-inmobiliario,Asturias,1.0,0,1.0,0,1980.0,3000.0,3000.0,20.0,40000.0,0,1,0,0,0,0
negocio-inmobiliario,Andalusia,1.0,1,1.0,1,2018.0,3000.0,3000.0,30.0,7700.0,0,1,0,0,0,0
negocio-inmobiliario,Balearic_Islands,1.0,0,8.0,0,2012.0,3000.0,3000.0,20.0,10000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,1.0,1,2010.0,12000.0,300000.0,500.0,300000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,1.0,1,2000.0,12000.0,3000.0,95.0,70000.0,0,1,0,0,0,0
negocio-inmobiliario,Aragon,1.0,0,1.0,0,1975.0,5000.0,3000.0,80.0,200000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,0,9.0,1,2000.0,6000.0,3000.0,500.0,400000.0,0,1,0,0,0,0
negocio-inmobiliario,Basque_Country,1.0,0,1.0,0,2020.0,8000.0,3000.0,50.0,90000.0,0,1,0,0,0,0
negocio-inmobiliario,Valencian_Community,1.0,0,1.0,1,1997.0,6000.0,3000.0,20.0,25000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,0,1.0,1,2000.0,30000.0,3000.0,340.0,85000000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,1.0,1,1959.0,10000.0,10000.0,75.0,3000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,1,1.0,1,2010.0,30000.0,5000.0,95.0,40000.0,0,1,0,0,0,0
negocio-inmobiliario,Castile_and_Leon,1.0,0,1.0,0,1980.0,20000.0,6000.0,270.0,650000.0,0,0,0,1,0,0
negocio-inmobiliario,Region_of_Murcia,1.0,0,1.0,1,1992.0,3000.0,3000.0,50.0,45000.0,0,1,0,0,0,0
negocio-inmobiliario,Andalusia,1.0,0,6.0,0,1990.0,4000.0,3000.0,200.0,600000.0,0,0,1,0,0,0
negocio-inmobiliario,Andalusia,1.0,0,6.0,1,2020.0,7000.0,10000.0,500.0,100000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,1,1.0,1,1980.0,3000.0,3000.0,500.0,3000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,1.0,0,1990.0,10000.0,3000.0,100.0,50000.0,0,1,0,0,0,0
negocio-inmobiliario,Valencian_Community,1.0,0,7.0,1,1991.0,4500.0,4000.0,80.0,50000.0,0,1,0,0,0,0
negocio-inmobiliario,Canary_Islands,1.0,0,1.0,0,2015.0,3000.0,3000.0,20.0,15000.0,0,1,0,0,0,0
negocio-inmobiliario,Basque_Country,1.0,0,2.0,1,1965.0,10000.0,3000.0,75.0,100000.0,0,1,0,0,0,0
negocio-inmobiliario,Andalusia,1.0,0,1.0,0,2010.0,3000.0,6000.0,50.0,50000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,1.0,0,1925.0,3000.0,3000.0,50.0,30000.0,0,1,0,0,0,0
negocio-inmobiliario,Andalusia,1.0,0,1.0,1,1978.0,6000.0,3000.0,50.0,80000.0,0,1,0,0,0,0
negocio-inmobiliario,Andalusia,1.0,1,1.0,1,1978.0,8000.0,3000.0,50.0,80000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,1.0,0,1950.0,6000.0,20000.0,200.0,80000.0,0,1,0,0,0,0
negocio-inmobiliario,Andalusia,1.0,0,5.0,1,2015.0,5000.0,15000.0,120.0,100000.0,0,1,0,0,0,0
negocio-inmobiliario,Madrid,1.0,0,1.0,0,1995.0,3000.0,3000.0,70.0,3000.0,0,1,0,0,0,0
negocio-inmobiliario,Navarre,1.0,0,1.0,1,2000.0,25000.0,10000.0,200.0,500000.0,0,1,0,0,0,0
negocio-inmobiliario,Catalonia,1.0,0,6.0,1,1980.0,3000.0,3000.0,30.0,100000.0,0,1,0,0,0,0
negocio-inmobiliario,Canary_Islands,1.0,1,1.0,1,1977.0,3000.0,3000.0,90.0,200000.0,0,1,0,0,0,0
